,Time,Temperature_Probe1,Temperature_Probe2
0,0.0,0.4,1.2
1,0.01,-0.4,1.0
2,0.02,0.4,1.0
3,0.03,0.2,1.1
4,0.04,0.2,1.0
5,0.05,0.3,1.1
6,0.06,-0.4,1.0
7,0.07,0.4,1.0
8,0.08,0.3,1.1
9,0.09,0.2,1.0
10,0.1,0.4,1.1
11,0.11,-0.4,1.0
12,0.12,0.4,1.0
13,0.13,0.3,1.1
14,0.14,0.2,1.0
15,0.15,0.3,1.0
16,0.16,-0.4,1.0
17,0.17,0.4,1.0
18,0.18,0.2,1.1
19,0.19,0.3,1.0
20,0.2,0.4,1.0
21,0.21,-0.4,1.0
22,0.22,0.3,1.0
23,0.23,0.3,1.0
24,0.24,0.2,1.0
25,0.25,0.3,1.0
26,0.26,-0.4,1.0
27,0.27,0.4,1.0
28,0.28,0.2,1.1
29,0.29,0.2,1.0
30,0.3,0.3,1.0
31,0.31,-0.4,0.9
32,0.32,0.3,1.0
33,0.33,0.2,1.0
34,0.34,0.2,1.0
35,0.35,0.3,1.0
36,0.36,-0.4,0.9
37,0.37,0.4,1.0
38,0.38,0.2,1.0
39,0.39,0.2,1.0
40,0.4,0.3,1.0
41,0.41,-0.4,1.0
42,0.42,0.4,1.0
43,0.43,0.2,1.0
44,0.44,0.2,1.0
45,0.45,0.3,1.0
46,0.46,-0.4,0.9
47,0.47,0.3,0.9
48,0.48,0.2,1.0
49,0.49,0.2,1.0
50,0.5,0.3,1.0
51,0.51,-0.4,0.9
52,0.52,0.3,0.9
53,0.53,0.3,1.0
54,0.54,0.2,1.0
55,0.55,0.3,1.0
56,0.56,-0.3,0.9
57,0.57,0.4,0.9
58,0.58,0.2,1.0
59,0.59,0.2,0.9
60,0.6,0.3,1.0
61,0.61,-0.3,0.9
62,0.62,0.3,0.9
63,0.63,0.2,1.0
64,0.64,0.3,0.9
65,0.65,0.3,1.0
66,0.66,-0.4,0.9
67,0.67,0.3,0.9
68,0.68,0.2,1.0
69,0.69,0.3,0.9
70,0.7,0.3,0.9
71,0.71,-0.4,0.9
72,0.72,0.4,0.9
73,0.73,0.2,1.0
74,0.74,0.3,0.9
75,0.75,0.3,1.0
76,0.76,-0.4,0.9
77,0.77,0.4,0.9
78,0.78,0.2,0.9
79,0.79,0.2,0.9
80,0.8,0.4,1.0
81,0.81,-0.4,0.9
82,0.82,0.4,0.9
83,0.83,0.2,1.0
84,0.84,0.2,0.9
85,0.85,0.3,0.9
86,0.86,-0.4,0.8
87,0.87,0.4,0.9
88,0.88,0.2,1.0
89,0.89,0.2,0.9
90,0.9,0.3,0.9
91,0.91,-0.4,0.8
92,0.92,0.3,0.9
93,0.93,0.3,1.0
94,0.94,0.2,0.9
95,0.95,0.3,0.9
96,0.96,-0.4,0.8
97,0.97,0.4,0.9
98,0.98,0.2,0.9
99,0.99,0.2,0.9
100,1.0,0.3,0.9
101,1.01,-0.4,0.8
102,1.02,0.4,0.9
103,1.03,0.2,0.9
104,1.04,0.3,0.9
105,1.05,0.3,0.9
106,1.06,-0.3,0.9
107,1.07,0.4,0.8
108,1.08,0.3,0.9
109,1.09,0.2,0.8
110,1.1,0.3,0.9
111,1.11,-0.4,0.8
112,1.12,0.3,0.8
113,1.13,0.1,0.9
114,1.14,0.3,0.9
115,1.15,0.4,0.9
116,1.16,-0.5,0.8
117,1.17,0.3,0.8
118,1.18,0.1,0.9
119,1.19,0.3,0.8
120,1.2,0.4,0.9
121,1.21,-0.5,0.8
122,1.22,0.3,0.8
123,1.23,0.1,0.9
124,1.24,0.2,0.9
125,1.25,0.3,0.9
126,1.26,-0.4,0.8
127,1.27,0.4,0.8
128,1.28,0.3,0.9
129,1.29,0.2,0.8
130,1.3,0.3,0.8
131,1.31,-0.4,0.8
132,1.32,0.3,0.8
133,1.33,0.1,0.9
134,1.34,0.3,0.8
135,1.35,0.4,0.9
136,1.36,-0.4,0.7
137,1.37,0.5,0.8
138,1.38,0.2,0.9
139,1.39,0.2,0.8
140,1.4,0.3,0.8
141,1.41,-0.5,0.7
142,1.42,0.4,0.7
143,1.43,0.2,0.9
144,1.44,0.2,0.8
145,1.45,0.3,0.8
146,1.46,-0.4,0.7
147,1.47,0.3,0.7
148,1.48,0.1,0.8
149,1.49,0.1,0.8
150,1.5,0.3,0.8
151,1.51,-0.5,0.7
152,1.52,0.4,0.7
153,1.53,0.1,0.8
154,1.54,0.2,0.8
155,1.55,0.3,0.8
156,1.56,-0.4,0.7
157,1.57,0.3,0.7
158,1.58,0.2,0.8
159,1.59,0.2,0.8
160,1.6,0.3,0.8
161,1.61,-0.5,0.7
162,1.62,0.4,0.7
163,1.63,0.2,0.8
164,1.64,0.2,0.7
165,1.65,0.3,0.8
166,1.66,-0.5,0.7
167,1.67,0.4,0.8
168,1.68,0.2,0.8
169,1.69,0.2,0.8
170,1.7,0.4,0.8
171,1.71,-0.4,0.6
172,1.72,0.4,0.8
173,1.73,0.2,0.8
174,1.74,0.3,0.8
175,1.75,0.3,0.8
176,1.76,-0.4,0.7
177,1.77,0.3,0.7
178,1.78,0.2,0.8
179,1.79,0.2,0.8
180,1.8,0.3,0.8
181,1.81,-0.5,0.7
182,1.82,0.4,0.7
183,1.83,0.2,0.8
184,1.84,0.2,0.7
185,1.85,0.3,0.8
186,1.86,-0.4,0.7
187,1.87,0.4,0.7
188,1.88,0.1,0.8
189,1.89,0.2,0.7
190,1.9,0.3,0.7
191,1.91,-0.5,0.6
192,1.92,0.4,0.7
193,1.93,0.2,0.8
194,1.94,0.2,0.7
195,1.95,0.3,0.8
196,1.96,-0.4,0.6
197,1.97,0.3,0.7
198,1.98,0.2,0.7
199,1.99,0.2,0.7
200,2.0,0.3,0.7
201,2.01,-0.5,0.6
202,2.02,0.4,0.7
203,2.03,0.2,0.8
204,2.04,0.2,0.7
