Vernier Format 2
250221tc.txt 8/11/2023 14:50:25
Run 1
Time	Temperature	Temperature	
T	T	T	
s	°C	°C	

0.00	0.4	1.2	
0.01	-0.4	1.0	
0.02	0.4	1.0	
0.03	0.2	1.1	
0.04	0.2	1.0	
0.05	0.3	1.1	
0.06	-0.4	1.0	
0.07	0.4	1.0	
0.08	0.3	1.1	
0.09	0.2	1.0	
0.10	0.4	1.1	
0.11	-0.4	1.0	
0.12	0.4	1.0	
0.13	0.3	1.1	
0.14	0.2	1.0	
0.15	0.3	1.0	
0.16	-0.4	1.0	
0.17	0.4	1.0	
0.18	0.2	1.1	
0.19	0.3	1.0	
0.20	0.4	1.0	
0.21	-0.4	1.0	
0.22	0.3	1.0	
0.23	0.3	1.0	
0.24	0.2	1.0	
0.25	0.3	1.0	
0.26	-0.4	1.0	
0.27	0.4	1.0	
0.28	0.2	1.1	
0.29	0.2	1.0	
0.30	0.3	1.0	
0.31	-0.4	0.9	
0.32	0.3	1.0	
0.33	0.2	1.0	
0.34	0.2	1.0	
0.35	0.3	1.0	
0.36	-0.4	0.9	
0.37	0.4	1.0	
0.38	0.2	1.0	
0.39	0.2	1.0	
0.40	0.3	1.0	
0.41	-0.4	1.0	
0.42	0.4	1.0	
0.43	0.2	1.0	
0.44	0.2	1.0	
0.45	0.3	1.0	
0.46	-0.4	0.9	
0.47	0.3	0.9	
0.48	0.2	1.0	
0.49	0.2	1.0	
0.50	0.3	1.0	
0.51	-0.4	0.9	
0.52	0.3	0.9	
0.53	0.3	1.0	
0.54	0.2	1.0	
0.55	0.3	1.0	
0.56	-0.3	0.9	
0.57	0.4	0.9	
0.58	0.2	1.0	
0.59	0.2	0.9	
0.60	0.3	1.0	
0.61	-0.3	0.9	
0.62	0.3	0.9	
0.63	0.2	1.0	
0.64	0.3	0.9	
0.65	0.3	1.0	
0.66	-0.4	0.9	
0.67	0.3	0.9	
0.68	0.2	1.0	
0.69	0.3	0.9	
0.70	0.3	0.9	
0.71	-0.4	0.9	
0.72	0.4	0.9	
0.73	0.2	1.0	
0.74	0.3	0.9	
0.75	0.3	1.0	
0.76	-0.4	0.9	
0.77	0.4	0.9	
0.78	0.2	0.9	
0.79	0.2	0.9	
0.80	0.4	1.0	
0.81	-0.4	0.9	
0.82	0.4	0.9	
0.83	0.2	1.0	
0.84	0.2	0.9	
0.85	0.3	0.9	
0.86	-0.4	0.8	
0.87	0.4	0.9	
0.88	0.2	1.0	
0.89	0.2	0.9	
0.90	0.3	0.9	
0.91	-0.4	0.8	
0.92	0.3	0.9	
0.93	0.3	1.0	
0.94	0.2	0.9	
0.95	0.3	0.9	
0.96	-0.4	0.8	
0.97	0.4	0.9	
0.98	0.2	0.9	
0.99	0.2	0.9	
1.00	0.3	0.9	
1.01	-0.4	0.8	
1.02	0.4	0.9	
1.03	0.2	0.9	
1.04	0.3	0.9	
1.05	0.3	0.9	
1.06	-0.3	0.9	
1.07	0.4	0.8	
1.08	0.3	0.9	
1.09	0.2	0.8	
1.10	0.3	0.9	
1.11	-0.4	0.8	
1.12	0.3	0.8	
1.13	0.1	0.9	
1.14	0.3	0.9	
1.15	0.4	0.9	
1.16	-0.5	0.8	
1.17	0.3	0.8	
1.18	0.1	0.9	
1.19	0.3	0.8	
1.20	0.4	0.9	
1.21	-0.5	0.8	
1.22	0.3	0.8	
1.23	0.1	0.9	
1.24	0.2	0.9	
1.25	0.3	0.9	
1.26	-0.4	0.8	
1.27	0.4	0.8	
1.28	0.3	0.9	
1.29	0.2	0.8	
1.30	0.3	0.8	
1.31	-0.4	0.8	
1.32	0.3	0.8	
1.33	0.1	0.9	
1.34	0.3	0.8	
1.35	0.4	0.9	
1.36	-0.4	0.7	
1.37	0.5	0.8	
1.38	0.2	0.9	
1.39	0.2	0.8	
1.40	0.3	0.8	
1.41	-0.5	0.7	
1.42	0.4	0.7	
1.43	0.2	0.9	
1.44	0.2	0.8	
1.45	0.3	0.8	
1.46	-0.4	0.7	
1.47	0.3	0.7	
1.48	0.1	0.8	
1.49	0.1	0.8	
1.50	0.3	0.8	
1.51	-0.5	0.7	
1.52	0.4	0.7	
1.53	0.1	0.8	
1.54	0.2	0.8	
1.55	0.3	0.8	
1.56	-0.4	0.7	
1.57	0.3	0.7	
1.58	0.2	0.8	
1.59	0.2	0.8	
1.60	0.3	0.8	
1.61	-0.5	0.7	
1.62	0.4	0.7	
1.63	0.2	0.8	
1.64	0.2	0.7	
1.65	0.3	0.8	
1.66	-0.5	0.7	
1.67	0.4	0.8	
1.68	0.2	0.8	
1.69	0.2	0.8	
1.70	0.4	0.8	
1.71	-0.4	0.6	
1.72	0.4	0.8	
1.73	0.2	0.8	
1.74	0.3	0.8	
1.75	0.3	0.8	
1.76	-0.4	0.7	
1.77	0.3	0.7	
1.78	0.2	0.8	
1.79	0.2	0.8	
1.80	0.3	0.8	
1.81	-0.5	0.7	
1.82	0.4	0.7	
1.83	0.2	0.8	
1.84	0.2	0.7	
1.85	0.3	0.8	
1.86	-0.4	0.7	
1.87	0.4	0.7	
1.88	0.1	0.8	
1.89	0.2	0.7	
1.90	0.3	0.7	
1.91	-0.5	0.6	
1.92	0.4	0.7	
1.93	0.2	0.8	
1.94	0.2	0.7	
1.95	0.3	0.8	
1.96	-0.4	0.6	
1.97	0.3	0.7	
1.98	0.2	0.7	
1.99	0.2	0.7	
2.00	0.3	0.7	
2.01	-0.5	0.6	
2.02	0.4	0.7	
2.03	0.2	0.8	
2.04	0.2	0.7	
2.05	0.3	0.7	
2.06	-0.4	0.6	
2.07	0.4	0.6	
2.08	0.3	0.8	
2.09	0.2	0.7	
2.10	0.3	0.7	
2.11	-0.5	0.6	
2.12	0.3	0.7	
2.13	0.2	0.7	
2.14	0.2	0.7	
2.15	0.4	0.7	
2.16	-0.5	0.6	
2.17	0.4	0.6	
2.18	0.1	0.7	
2.19	0.2	0.7	
2.20	0.3	0.7	
2.21	-0.5	0.6	
2.22	0.4	0.7	
2.23	0.2	0.7	
2.24	0.2	0.7	
2.25	0.3	0.7	
2.26	-0.5	0.6	
2.27	0.4	0.7	
2.28	0.2	0.7	
2.29	0.2	0.7	
2.30	0.3	0.7	
2.31	-0.5	0.6	
2.32	0.4	0.7	
2.33	0.2	0.7	
2.34	0.2	0.7	
2.35	0.3	0.7	
2.36	-0.5	0.6	
2.37	0.4	0.7	
2.38	0.2	0.7	
2.39	0.3	0.7	
2.40	0.3	0.7	
2.41	-0.5	0.6	
2.42	0.4	0.6	
2.43	0.2	0.7	
2.44	0.2	0.7	
2.45	0.3	0.7	
2.46	-0.5	0.5	
2.47	0.4	0.6	
2.48	0.2	0.7	
2.49	0.2	0.7	
2.50	0.3	0.7	
2.51	-0.5	0.5	
2.52	0.4	0.6	
2.53	0.1	0.7	
2.54	0.2	0.6	
2.55	0.3	0.7	
2.56	-0.5	0.5	
2.57	0.4	0.6	
2.58	0.1	0.7	
2.59	0.1	0.6	
2.60	0.4	0.7	
2.61	-0.5	0.5	
2.62	0.3	0.6	
2.63	0.2	0.6	
2.64	0.2	0.6	
2.65	0.4	0.7	
2.66	-0.5	0.5	
2.67	0.3	0.6	
2.68	0.2	0.7	
2.69	0.2	0.6	
2.70	0.3	0.7	
2.71	-0.4	0.5	
2.72	0.4	0.6	
2.73	0.2	0.7	
2.74	0.2	0.6	
2.75	0.3	0.6	
2.76	-0.5	0.5	
2.77	0.4	0.6	
2.78	0.1	0.6	
2.79	0.2	0.6	
2.80	0.3	0.6	
2.81	-0.4	0.5	
2.82	0.4	0.6	
2.83	0.2	0.6	
2.84	0.2	0.6	
2.85	0.4	0.7	
2.86	-0.4	0.5	
2.87	0.3	0.6	
2.88	0.2	0.7	
2.89	0.3	0.6	
2.90	0.3	0.6	
2.91	-0.5	0.5	
2.92	0.4	0.6	
2.93	0.1	0.6	
2.94	0.2	0.6	
2.95	0.3	0.6	
2.96	-0.4	0.5	
2.97	0.3	0.6	
2.98	0.2	0.6	
2.99	0.2	0.6	
3.00	0.3	0.6	
3.01	-0.4	0.5	
3.02	0.4	0.6	
3.03	0.2	0.7	
3.04	0.2	0.6	
3.05	0.3	0.6	
3.06	-0.4	0.5	
3.07	0.3	0.6	
3.08	0.2	0.6	
3.09	0.2	0.6	
3.10	0.3	0.6	
3.11	-0.4	0.5	
3.12	0.4	0.6	
3.13	0.1	0.6	
3.14	0.2	0.6	
3.15	0.3	0.6	
3.16	-0.4	0.5	
3.17	0.4	0.6	
3.18	0.2	0.6	
3.19	0.2	0.6	
3.20	0.3	0.6	
3.21	-0.4	0.5	
3.22	0.4	0.5	
3.23	0.1	0.6	
3.24	0.2	0.6	
3.25	0.3	0.6	
3.26	-0.4	0.5	
3.27	0.4	0.6	
3.28	0.2	0.6	
3.29	0.2	0.6	
3.30	0.3	0.6	
3.31	-0.4	0.5	
3.32	0.4	0.6	
3.33	0.1	0.6	
3.34	0.2	0.5	
3.35	0.3	0.6	
3.36	-0.4	0.5	
3.37	0.3	0.5	
3.38	0.2	0.6	
3.39	0.2	0.6	
3.40	0.3	0.6	
3.41	-0.4	0.5	
3.42	0.3	0.5	
3.43	0.2	0.6	
3.44	0.2	0.6	
3.45	0.3	0.6	
3.46	-0.4	0.5	
3.47	0.3	0.5	
3.48	0.2	0.6	
3.49	0.2	0.5	
3.50	0.3	0.6	
3.51	-0.4	0.5	
3.52	0.3	0.5	
3.53	0.2	0.6	
3.54	0.1	0.5	
3.55	0.4	0.6	
3.56	-0.4	0.5	
3.57	0.3	0.5	
3.58	0.3	0.6	
3.59	0.2	0.5	
3.60	0.3	0.6	
3.61	-0.4	0.5	
3.62	0.3	0.5	
3.63	0.2	0.6	
3.64	0.3	0.6	
3.65	0.3	0.5	
3.66	-0.5	0.4	
3.67	0.3	0.5	
3.68	0.2	0.6	
3.69	0.2	0.5	
3.70	0.3	0.5	
3.71	-0.5	0.4	
3.72	0.4	0.5	
3.73	0.2	0.6	
3.74	0.2	0.5	
3.75	0.3	0.5	
3.76	-0.4	0.5	
3.77	0.4	0.5	
3.78	0.1	0.5	
3.79	0.2	0.5	
3.80	0.3	0.6	
3.81	-0.4	0.4	
3.82	0.3	0.5	
3.83	0.1	0.6	
3.84	0.2	0.5	
3.85	0.3	0.6	
3.86	-0.4	0.5	
3.87	0.4	0.5	
3.88	0.2	0.5	
3.89	0.1	0.5	
3.90	0.3	0.6	
3.91	-0.4	0.5	
3.92	0.4	0.5	
3.93	0.1	0.6	
3.94	0.2	0.5	
3.95	0.3	0.6	
3.96	-0.4	0.4	
3.97	0.4	0.5	
3.98	0.1	0.6	
3.99	0.2	0.5	
4.00	0.4	0.6	
4.01	-0.3	0.5	
4.02	0.4	0.5	
4.03	0.2	0.6	
4.04	0.2	0.5	
4.05	0.3	0.5	
4.06	-0.4	0.5	
4.07	0.3	0.4	
4.08	0.2	0.6	
4.09	0.2	0.5	
4.10	0.3	0.5	
4.11	-0.4	0.4	
4.12	0.4	0.5	
4.13	0.2	0.5	
4.14	0.2	0.5	
4.15	0.3	0.6	
4.16	-0.4	0.4	
4.17	0.4	0.5	
4.18	0.2	0.5	
4.19	0.2	0.5	
4.20	0.3	0.5	
4.21	-0.3	0.5	
4.22	0.4	0.5	
4.23	0.2	0.6	
4.24	0.2	0.5	
