Month,Day,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,1,,42.0,30.0,34.0,54.0,28.0,30.0,22.0,57.0,51.0,48.0,62.0,67.0,43.0,56.0,52.0,38.0,43.0,39.0,54.0,54.0,35.0,33.0,58.0,57.0,20.0,58.0,49.0,54.0,52.0,49.0,60.0,32.0,50.0,42.0,58.0,47.0,64.0,34.0,40.0,45.0,62.0,48.0,39.0,51.0,55.0,46.0,25.0,48.0,39.0,48.0,38.0,52.0,36.0,29.0,50.0,40.0,54.0,35.0,74.0,42.0,55.0,49.0,46.0,46.0,40.0,33.0,36.0,41.0,33.0,27.0,30.0,45.0,68.0,40.0,32.0,39.0,36.0,34.0,40.0,,50.0,55.0,42.0,25.0,40.0,58.0,41.0,35.0,45.0,,39.0,66.0,42.0,35.0,48.0,44.0,47.0,35.0,39.0,63.0,39.0,38.0,47.0,61.0,36.0,28.0,59.0,31.0,35.0,62.0,53.0,60.0,53.0,48.0,49.0,48.0,36.0,55.0,51.0,37.0,41.0,38.0,58.0,45.0,,59.0,48.0,55.0,61.0,57.0,43.0,54.0
1,2,46.0,45.0,30.0,48.0,54.0,27.0,32.0,35.0,42.0,46.0,42.0,52.0,66.0,45.0,52.0,65.0,41.0,65.0,52.0,40.0,53.0,33.0,39.0,70.0,53.0,18.0,60.0,45.0,60.0,30.0,46.0,40.0,34.0,58.0,43.0,25.0,47.0,62.0,44.0,45.0,46.0,58.0,45.0,35.0,43.0,50.0,57.0,25.0,45.0,52.0,57.0,40.0,33.0,30.0,41.0,37.0,39.0,63.0,45.0,69.0,44.0,54.0,57.0,40.0,28.0,30.0,50.0,36.0,40.0,34.0,33.0,50.0,53.0,52.0,39.0,26.0,33.0,47.0,34.0,50.0,,40.0,43.0,40.0,31.0,39.0,58.0,38.0,35.0,41.0,,38.0,62.0,50.0,39.0,41.0,54.0,44.0,48.0,55.0,40.0,41.0,58.0,37.0,37.0,29.0,31.0,54.0,34.0,31.0,47.0,53.0,65.0,55.0,61.0,44.0,33.0,39.0,61.0,53.0,40.0,51.0,47.0,42.0,51.0,,59.0,55.0,37.0,62.0,63.0,42.0,45.0
1,3,42.0,53.0,26.0,44.0,60.0,35.0,44.0,37.0,33.0,48.0,56.0,35.0,50.0,40.0,52.0,40.0,50.0,68.0,52.0,36.0,47.0,38.0,32.0,59.0,61.0,18.0,45.0,23.0,53.0,45.0,41.0,53.0,40.0,55.0,40.0,25.0,35.0,58.0,45.0,45.0,57.0,40.0,57.0,49.0,53.0,42.0,62.0,27.0,41.0,34.0,51.0,38.0,42.0,41.0,53.0,43.0,50.0,57.0,60.0,50.0,40.0,50.0,50.0,51.0,35.0,33.0,45.0,49.0,37.0,56.0,33.0,51.0,57.0,52.0,42.0,41.0,43.0,34.0,37.0,48.0,,36.0,41.0,49.0,32.0,33.0,34.0,37.0,42.0,34.0,,43.0,44.0,53.0,37.0,31.0,45.0,51.0,44.0,47.0,45.0,43.0,34.0,35.0,60.0,50.0,30.0,64.0,28.0,32.0,38.0,59.0,51.0,41.0,49.0,29.0,48.0,22.0,54.0,34.0,40.0,34.0,44.0,44.0,41.0,,43.0,54.0,59.0,60.0,,42.0,40.0
1,4,20.0,57.0,39.0,15.0,60.0,42.0,57.0,42.0,49.0,30.0,47.0,23.0,28.0,53.0,60.0,40.0,52.0,57.0,38.0,37.0,47.0,37.0,43.0,47.0,55.0,21.0,20.0,20.0,58.0,60.0,38.0,44.0,45.0,47.0,45.0,30.0,40.0,53.0,45.0,42.0,58.0,35.0,55.0,43.0,50.0,46.0,61.0,25.0,40.0,38.0,54.0,46.0,47.0,48.0,54.0,,45.0,67.0,58.0,38.0,38.0,43.0,62.0,46.0,,26.0,,36.0,37.0,56.0,37.0,52.0,46.0,50.0,39.0,41.0,41.0,32.0,40.0,40.0,,34.0,43.0,43.0,40.0,40.0,32.0,33.0,39.0,54.0,,47.0,33.0,43.0,39.0,43.0,35.0,55.0,39.0,48.0,62.0,33.0,30.0,46.0,70.0,55.0,33.0,69.0,34.0,31.0,36.0,73.0,68.0,41.0,58.0,29.0,53.0,21.0,39.0,26.0,40.0,29.0,45.0,53.0,50.0,,43.0,53.0,44.0,34.0,68.0,46.0,41.0
1,5,30.0,61.0,25.0,18.0,58.0,47.0,57.0,53.0,40.0,41.0,40.0,24.0,31.0,48.0,58.0,44.0,56.0,35.0,35.0,30.0,50.0,40.0,41.0,60.0,55.0,27.0,21.0,30.0,56.0,61.0,54.0,37.0,41.0,68.0,52.0,40.0,40.0,46.0,44.0,55.0,56.0,47.0,41.0,44.0,39.0,48.0,54.0,35.0,30.0,33.0,30.0,40.0,44.0,55.0,44.0,45.0,48.0,65.0,52.0,42.0,35.0,49.0,57.0,50.0,50.0,30.0,24.0,42.0,47.0,51.0,34.0,42.0,53.0,50.0,35.0,27.0,26.0,40.0,46.0,40.0,,34.0,42.0,23.0,36.0,47.0,33.0,30.0,25.0,50.0,,48.0,37.0,39.0,37.0,32.0,43.0,53.0,42.0,49.0,60.0,33.0,33.0,28.0,69.0,62.0,28.0,64.0,37.0,42.0,35.0,70.0,66.0,47.0,61.0,43.0,56.0,25.0,47.0,36.0,42.0,36.0,60.0,35.0,52.0,19.0,43.0,58.0,41.0,36.0,59.0,44.0,40.0
1,6,28.0,60.0,45.0,21.0,52.0,48.0,38.0,57.0,45.0,45.0,37.0,41.0,33.0,45.0,65.0,45.0,54.0,58.0,47.0,12.0,63.0,43.0,40.0,58.0,55.0,26.0,26.0,40.0,47.0,55.0,53.0,23.0,45.0,60.0,42.0,59.0,50.0,55.0,40.0,56.0,53.0,50.0,51.0,43.0,38.0,50.0,56.0,30.0,36.0,27.0,35.0,37.0,40.0,61.0,43.0,36.0,54.0,70.0,56.0,35.0,35.0,45.0,65.0,52.0,36.0,45.0,27.0,40.0,52.0,42.0,37.0,45.0,50.0,46.0,35.0,30.0,29.0,36.0,38.0,33.0,,36.0,36.0,36.0,31.0,45.0,35.0,28.0,38.0,50.0,,49.0,45.0,45.0,47.0,21.0,39.0,48.0,50.0,45.0,46.0,33.0,26.0,36.0,64.0,63.0,22.0,39.0,40.0,47.0,33.0,54.0,46.0,49.0,53.0,51.0,53.0,29.0,28.0,39.0,45.0,43.0,41.0,28.0,35.0,18.0,49.0,48.0,41.0,43.0,58.0,44.0,32.0
1,7,29.0,62.0,56.0,37.0,37.0,45.0,34.0,64.0,49.0,40.0,40.0,42.0,34.0,50.0,71.0,37.0,45.0,41.0,48.0,20.0,68.0,40.0,58.0,41.0,60.0,30.0,37.0,46.0,54.0,45.0,48.0,42.0,48.0,42.0,38.0,60.0,37.0,60.0,40.0,56.0,63.0,50.0,60.0,48.0,56.0,48.0,55.0,26.0,36.0,28.0,36.0,41.0,35.0,61.0,48.0,37.0,55.0,67.0,51.0,38.0,38.0,40.0,45.0,47.0,42.0,39.0,41.0,36.0,52.0,47.0,39.0,42.0,49.0,53.0,47.0,34.0,30.0,31.0,31.0,40.0,,46.0,39.0,45.0,32.0,39.0,46.0,39.0,37.0,60.0,,44.0,45.0,40.0,53.0,16.0,37.0,44.0,43.0,46.0,49.0,39.0,40.0,21.0,53.0,66.0,35.0,44.0,44.0,36.0,39.0,37.0,58.0,37.0,64.0,57.0,33.0,32.0,37.0,62.0,45.0,46.0,38.0,44.0,32.0,25.0,43.0,50.0,42.0,44.0,44.0,34.0,32.0
1,8,40.0,39.0,38.0,36.0,37.0,60.0,38.0,64.0,48.0,52.0,36.0,40.0,30.0,45.0,70.0,40.0,34.0,34.0,49.0,20.0,65.0,45.0,46.0,31.0,51.0,30.0,43.0,52.0,67.0,34.0,45.0,46.0,47.0,35.0,33.0,55.0,30.0,64.0,37.0,49.0,56.0,53.0,57.0,39.0,66.0,43.0,58.0,26.0,43.0,23.0,35.0,36.0,36.0,59.0,48.0,50.0,57.0,38.0,37.0,34.0,33.0,45.0,49.0,35.0,35.0,27.0,33.0,45.0,47.0,41.0,40.0,39.0,62.0,53.0,48.0,17.0,30.0,20.0,25.0,41.0,,41.0,42.0,43.0,24.0,42.0,50.0,39.0,24.0,41.0,,49.0,41.0,28.0,42.0,24.0,61.0,40.0,30.0,47.0,44.0,42.0,47.0,16.0,38.0,66.0,40.0,48.0,46.0,36.0,40.0,27.0,43.0,27.0,50.0,67.0,47.0,29.0,34.0,50.0,42.0,20.0,25.0,46.0,21.0,25.0,43.0,33.0,40.0,36.0,48.0,45.0,29.0
1,9,32.0,35.0,28.0,42.0,47.0,47.0,51.0,47.0,65.0,51.0,33.0,41.0,33.0,34.0,60.0,35.0,38.0,43.0,50.0,21.0,50.0,46.0,44.0,28.0,58.0,25.0,37.0,64.0,43.0,51.0,48.0,58.0,37.0,35.0,30.0,51.0,44.0,72.0,44.0,40.0,44.0,46.0,60.0,42.0,72.0,32.0,58.0,32.0,41.0,22.0,35.0,25.0,34.0,49.0,42.0,59.0,62.0,58.0,37.0,55.0,34.0,56.0,48.0,35.0,40.0,36.0,31.0,45.0,32.0,33.0,41.0,37.0,59.0,42.0,43.0,24.0,52.0,8.0,28.0,42.0,,58.0,54.0,27.0,25.0,42.0,32.0,37.0,33.0,34.0,,46.0,33.0,47.0,43.0,27.0,51.0,46.0,34.0,58.0,39.0,32.0,42.0,25.0,38.0,65.0,41.0,45.0,33.0,33.0,56.0,32.0,60.0,45.0,48.0,67.0,37.0,26.0,29.0,50.0,54.0,33.0,25.0,39.0,19.0,42.0,58.0,41.0,40.0,30.0,37.0,39.0,26.0
1,10,30.0,51.0,34.0,37.0,54.0,46.0,28.0,56.0,59.0,64.0,34.0,40.0,47.0,41.0,44.0,31.0,50.0,36.0,45.0,40.0,41.0,50.0,46.0,44.0,56.0,31.0,35.0,54.0,37.0,51.0,41.0,54.0,35.0,37.0,38.0,54.0,58.0,66.0,45.0,39.0,48.0,40.0,59.0,50.0,63.0,41.0,67.0,32.0,40.0,22.0,35.0,38.0,29.0,49.0,37.0,43.0,62.0,69.0,50.0,51.0,36.0,55.0,46.0,38.0,42.0,52.0,31.0,60.0,41.0,28.0,50.0,46.0,42.0,50.0,45.0,25.0,43.0,25.0,40.0,52.0,,54.0,49.0,32.0,36.0,20.0,34.0,34.0,31.0,18.0,,42.0,30.0,53.0,39.0,26.0,41.0,46.0,41.0,52.0,31.0,27.0,46.0,34.0,31.0,56.0,44.0,41.0,33.0,52.0,61.0,26.0,60.0,63.0,43.0,58.0,39.0,29.0,28.0,37.0,57.0,38.0,34.0,54.0,25.0,45.0,41.0,40.0,41.0,45.0,45.0,39.0,34.0
