STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00442208,"DALE ENTERPRISE, VA US",1893-02-28,50,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-01,52,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-02,58,26,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-03,52,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-04,59,19,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-05,39,11,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-06,46,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-07,55,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-08,57,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-09,65,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-10,59,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-11,45,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-12,52,31,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-13,61,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-14,62,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-15,54,26,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-16,40,16,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-17,33,22,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-18,36,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-19,45,23,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-20,54,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-21,57,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-22,68,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-23,58,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-24,67,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-25,65,40,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-26,62,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-27,54,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-28,46,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-29,49,20,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-30,63,24,
USC00442208,"DALE ENTERPRISE, VA US",1893-03-31,76,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-01,79,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-02,67,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-03,70,30,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-04,75,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-05,72,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-06,68,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-07,55,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-08,92,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-09,82,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-10,63,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-11,53,37,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-12,58,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-13,72,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-14,73,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-15,66,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-16,56,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-17,63,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-18,59,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-19,72,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-20,69,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-21,63,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-22,53,33,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-23,50,36,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-24,59,25,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-25,67,34,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-26,51,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-27,75,38,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-28,74,39,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-29,75,43,
USC00442208,"DALE ENTERPRISE, VA US",1893-04-30,80,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-01,84,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-02,78,47,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-03,63,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-04,59,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-05,78,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-06,73,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-07,63,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-08,66,35,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-09,64,43,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-10,69,27,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-11,78,41,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-12,76,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-13,72,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-14,70,46,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-15,69,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-16,70,52,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-17,64,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-18,63,44,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-19,75,32,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-20,82,37,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-21,84,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-22,80,51,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-23,85,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-24,73,48,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-25,86,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-26,84,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-27,82,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-28,78,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-29,63,47,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-30,74,42,
USC00442208,"DALE ENTERPRISE, VA US",1893-05-31,77,50,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-01,75,56,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-02,79,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-03,84,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-04,83,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-05,85,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-06,83,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-07,75,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-08,77,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-09,82,45,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-10,86,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-11,87,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-12,76,55,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-13,78,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-14,79,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-15,82,62,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-16,79,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-17,80,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-18,85,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-19,90,70,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-20,89,70,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-21,85,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-22,86,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-23,77,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-24,80,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-25,80,66,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-26,79,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-27,76,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-28,74,,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-29,74,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-06-30,76,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-01,74,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-02,79,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-03,,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-04,80,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-05,88,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-06,92,71,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-07,95,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-08,92,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-09,87,72,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-10,81,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-11,83,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-12,88,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-13,88,65,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-14,94,66,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-15,88,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-16,86,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-17,87,68,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-18,96,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-19,84,64,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-20,84,61,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-21,80,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-22,90,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-23,89,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-24,86,54,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-25,95,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-26,96,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-27,80,60,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-28,82,57,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-29,93,56,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-30,90,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-07-31,83,63,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-01,80,59,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-02,80,58,
USC00442208,"DALE ENTERPRISE, VA US",1893-08-03,83,60,
