"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00442208","DALE ENTERPRISE, VA US","1893-01-01",,"19",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-02","46","22",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-03","42","13",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-04","20","7",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-05","30","13",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-06","28","6",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-07","29","1",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-08","40","2",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-09","32","0",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-10","30","-2",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-11","28","-9",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-12","34","7",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-13","23","-1",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-14","23","-6",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-15","29","-5",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-16","15","-16",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-17","19","-6",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-18","20","-11",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-19","33","4",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-20","28","-7",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-21","37","1",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-22","41","12",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-23","45","15",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-24","41","14",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-25","55","28",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-26","52","20",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-27","61","27",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-28","43","25",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-29","62","29",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-30","55","24",
"USC00442208","DALE ENTERPRISE, VA US","1893-01-31","45","31",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-01","62","32",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-02","62","32",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-03","50","35",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-04","45","27",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-05","38","16",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-06","45","22",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-07","56","26",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-08","40","16",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-09","40","19",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-10","61","27",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-11","50","29",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-12","37","26",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-13","44","24",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-14","48","12",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-15","60","35",
"USC00442208","DALE ENTERPRISE, VA US","1893-02-16","65","35",
