Month,Day,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,1,19.0,22.0,-2.0,22.0,23.0,15.0,6.0,6.0,30.0,21.0,17.0,30.0,36.0,21.0,32.0,19.0,16.0,11.0,24.0,28.0,27.0,27.0,10.0,30.0,17.0,-3.0,38.0,34.0,30.0,20.0,39.0,25.0,19.0,19.0,30.0,10.0,36.0,32.0,11.0,20.0,14.0,45.0,22.0,15.0,28.0,43.0,30.0,12.0,32.0,31.0,25.0,10.0,31.0,20.0,22.0,36.0,29.0,28.0,14.0,39.0,27.0,22.0,29.0,18.0,27.0,28.0,27.0,16.0,31.0,22.0,1.0,16.0,26.0,49.0,22.0,14.0,13.0,25.0,20.0,18.0,,36.0,35.0,33.0,10.0,28.0,35.0,21.0,23.0,26.0,,14.0,43.0,29.0,26.0,38.0,33.0,32.0,20.0,16.0,32.0,7.0,30.0,30.0,28.0,3.0,11.0,24.0,14.0,6.0,31.0,23.0,26.0,29.0,36.0,30.0,11.0,23.0,29.0,26.0,23.0,24.0,20.0,35.0,23.0,2.0,35.0,25.0,32.0,39.0,42.0,25.0,42.0
1,2,22.0,18.0,9.0,14.0,31.0,4.0,-11.0,1.0,19.0,18.0,37.0,26.0,36.0,19.0,28.0,30.0,24.0,31.0,30.0,11.0,26.0,23.0,20.0,49.0,25.0,7.0,35.0,12.0,34.0,10.0,18.0,28.0,19.0,25.0,28.0,3.0,25.0,40.0,7.0,40.0,19.0,28.0,17.0,19.0,32.0,28.0,36.0,14.0,36.0,34.0,28.0,19.0,13.0,16.0,25.0,30.0,21.0,37.0,19.0,42.0,28.0,23.0,38.0,16.0,8.0,13.0,27.0,18.0,18.0,9.0,16.0,23.0,30.0,39.0,26.0,-4.0,12.0,21.0,9.0,31.0,,23.0,23.0,25.0,7.0,26.0,34.0,22.0,26.0,15.0,,23.0,44.0,21.0,28.0,22.0,30.0,20.0,18.0,33.0,19.0,13.0,29.0,33.0,28.0,2.0,16.0,44.0,12.0,6.0,38.0,30.0,39.0,26.0,37.0,20.0,14.0,17.0,32.0,28.0,32.0,24.0,22.0,25.0,32.0,,30.0,25.0,32.0,44.0,36.0,25.0,29.0
1,3,13.0,23.0,14.0,30.0,33.0,7.0,6.0,9.0,11.0,20.0,28.0,3.0,21.0,29.0,37.0,17.0,30.0,41.0,32.0,22.0,26.0,27.0,10.0,32.0,28.0,-8.0,17.0,1.0,30.0,15.0,30.0,25.0,24.0,26.0,29.0,2.0,14.0,41.0,17.0,35.0,23.0,17.0,28.0,31.0,34.0,21.0,33.0,15.0,36.0,22.0,34.0,28.0,16.0,19.0,35.0,26.0,24.0,51.0,37.0,38.0,31.0,34.0,26.0,32.0,9.0,14.0,19.0,35.0,22.0,12.0,17.0,33.0,31.0,42.0,23.0,22.0,17.0,26.0,8.0,21.0,,29.0,19.0,31.0,15.0,15.0,4.0,23.0,25.0,25.0,,20.0,27.0,33.0,30.0,17.0,28.0,29.0,25.0,37.0,31.0,32.0,15.0,32.0,36.0,34.0,17.0,42.0,6.0,6.0,33.0,43.0,42.0,33.0,28.0,13.0,28.0,11.0,23.0,19.0,20.0,12.0,30.0,25.0,37.0,1.0,32.0,45.0,37.0,29.0,,30.0,26.0
1,4,7.0,32.0,4.0,2.0,47.0,12.0,31.0,3.0,8.0,9.0,28.0,3.0,8.0,30.0,38.0,23.0,31.0,21.0,14.0,17.0,25.0,29.0,20.0,17.0,29.0,-10.0,-1.0,7.0,27.0,32.0,32.0,17.0,23.0,35.0,32.0,0.0,13.0,23.0,27.0,20.0,33.0,28.0,18.0,24.0,27.0,26.0,38.0,11.0,24.0,25.0,27.0,32.0,31.0,25.0,33.0,25.0,30.0,50.0,42.0,26.0,25.0,23.0,36.0,20.0,18.0,8.0,,23.0,20.0,38.0,14.0,38.0,19.0,23.0,28.0,27.0,10.0,11.0,25.0,31.0,,31.0,36.0,18.0,23.0,10.0,9.0,25.0,6.0,31.0,,23.0,26.0,25.0,19.0,25.0,23.0,28.0,20.0,44.0,40.0,26.0,18.0,17.0,36.0,34.0,16.0,50.0,4.0,14.0,29.0,43.0,43.0,36.0,28.0,12.0,28.0,11.0,16.0,15.0,19.0,8.0,33.0,28.0,36.0,2.0,27.0,46.0,37.0,10.0,51.0,36.0,18.0
1,5,13.0,41.0,1.0,-1.0,29.0,23.0,38.0,22.0,24.0,8.0,29.0,0.0,19.0,31.0,24.0,15.0,40.0,15.0,15.0,-2.0,32.0,22.0,15.0,32.0,35.0,8.0,-6.0,4.0,38.0,42.0,26.0,10.0,26.0,38.0,32.0,11.0,14.0,16.0,25.0,25.0,44.0,30.0,15.0,32.0,23.0,23.0,37.0,18.0,14.0,23.0,20.0,29.0,24.0,34.0,26.0,22.0,36.0,52.0,24.0,29.0,18.0,20.0,35.0,20.0,29.0,5.0,5.0,25.0,16.0,30.0,17.0,20.0,27.0,21.0,21.0,5.0,3.0,14.0,36.0,30.0,,27.0,18.0,9.0,25.0,22.0,18.0,22.0,0.0,31.0,,28.0,29.0,28.0,20.0,11.0,14.0,38.0,21.0,37.0,43.0,21.0,5.0,17.0,51.0,31.0,8.0,30.0,17.0,12.0,23.0,42.0,44.0,33.0,36.0,15.0,29.0,17.0,18.0,15.0,22.0,12.0,33.0,11.0,25.0,2.0,28.0,32.0,30.0,10.0,39.0,13.0,16.0
1,6,6.0,40.0,20.0,0.0,14.0,21.0,25.0,28.0,13.0,13.0,25.0,7.0,8.0,29.0,26.0,15.0,40.0,25.0,20.0,-6.0,30.0,12.0,29.0,36.0,25.0,14.0,-4.0,5.0,30.0,24.0,24.0,0.0,15.0,40.0,27.0,23.0,26.0,39.0,22.0,35.0,20.0,30.0,28.0,26.0,28.0,22.0,36.0,13.0,11.0,5.0,14.0,30.0,21.0,46.0,23.0,28.0,37.0,48.0,29.0,24.0,20.0,29.0,37.0,17.0,20.0,13.0,5.0,27.0,22.0,33.0,25.0,21.0,32.0,27.0,19.0,13.0,15.0,22.0,13.0,15.0,,30.0,19.0,10.0,23.0,30.0,21.0,4.0,10.0,30.0,,34.0,23.0,17.0,18.0,4.0,29.0,43.0,34.0,24.0,32.0,20.0,4.0,18.0,37.0,,7.0,19.0,22.0,20.0,26.0,30.0,38.0,33.0,52.0,25.0,30.0,18.0,21.0,28.0,25.0,29.0,20.0,10.0,27.0,5.0,28.0,34.0,34.0,32.0,29.0,16.0,16.0
1,7,1.0,35.0,30.0,13.0,9.0,29.0,13.0,22.0,27.0,28.0,20.0,19.0,24.0,26.0,45.0,25.0,12.0,24.0,20.0,-1.0,48.0,19.0,32.0,19.0,26.0,21.0,6.0,26.0,22.0,22.0,19.0,13.0,10.0,23.0,32.0,32.0,20.0,26.0,28.0,45.0,35.0,39.0,30.0,28.0,31.0,37.0,25.0,12.0,15.0,13.0,29.0,20.0,21.0,55.0,25.0,20.0,32.0,34.0,34.0,25.0,22.0,25.0,26.0,22.0,25.0,27.0,11.0,30.0,26.0,35.0,13.0,35.0,23.0,28.0,27.0,14.0,18.0,13.0,17.0,17.0,,30.0,14.0,21.0,17.0,32.0,31.0,21.0,23.0,35.0,,30.0,28.0,20.0,28.0,3.0,27.0,25.0,28.0,24.0,33.0,22.0,18.0,10.0,32.0,53.0,15.0,20.0,20.0,27.0,17.0,12.0,32.0,18.0,41.0,37.0,30.0,15.0,21.0,31.0,25.0,0.0,20.0,11.0,15.0,-4.0,28.0,25.0,28.0,18.0,27.0,30.0,16.0
1,8,2.0,22.0,33.0,24.0,14.0,35.0,12.0,34.0,18.0,25.0,20.0,24.0,14.0,27.0,48.0,20.0,10.0,10.0,26.0,0.0,37.0,24.0,21.0,-11.0,25.0,17.0,24.0,39.0,40.0,19.0,25.0,16.0,22.0,17.0,13.0,32.0,5.0,35.0,23.0,35.0,26.0,43.0,44.0,29.0,39.0,22.0,34.0,11.0,18.0,-2.0,28.0,21.0,22.0,49.0,32.0,20.0,36.0,19.0,14.0,18.0,22.0,22.0,19.0,17.0,18.0,6.0,20.0,22.0,27.0,31.0,30.0,28.0,39.0,18.0,41.0,3.0,9.0,-10.0,9.0,20.0,,31.0,22.0,23.0,0.0,36.0,26.0,25.0,4.0,21.0,,18.0,32.0,4.0,33.0,11.0,36.0,31.0,19.0,21.0,38.0,31.0,24.0,10.0,17.0,53.0,14.0,19.0,21.0,13.0,18.0,12.0,32.0,22.0,38.0,37.0,29.0,15.0,22.0,28.0,25.0,0.0,1.0,17.0,3.0,-2.0,34.0,25.0,28.0,7.0,27.0,30.0,7.0
1,9,0.0,23.0,20.0,28.0,15.0,27.0,21.0,11.0,32.0,24.0,8.0,28.0,6.0,4.0,34.0,16.0,18.0,11.0,24.0,7.0,18.0,24.0,25.0,-10.0,32.0,6.0,28.0,34.0,29.0,25.0,27.0,23.0,15.0,17.0,15.0,36.0,18.0,43.0,20.0,36.0,32.0,33.0,45.0,30.0,45.0,14.0,28.0,21.0,20.0,-5.0,25.0,11.0,26.0,43.0,24.0,40.0,41.0,25.0,9.0,31.0,30.0,28.0,25.0,16.0,28.0,6.0,15.0,25.0,17.0,18.0,14.0,30.0,41.0,14.0,27.0,17.0,19.0,-6.0,16.0,17.0,,27.0,33.0,8.0,11.0,10.0,10.0,28.0,7.0,18.0,,26.0,18.0,9.0,19.0,2.0,35.0,22.0,20.0,36.0,28.0,11.0,28.0,9.0,16.0,50.0,15.0,22.0,24.0,12.0,38.0,12.0,28.0,23.0,20.0,41.0,14.0,10.0,13.0,27.0,25.0,7.0,2.0,23.0,3.0,23.0,38.0,18.0,28.0,9.0,27.0,30.0,8.0
1,10,-2.0,24.0,20.0,23.0,28.0,33.0,18.0,28.0,30.0,36.0,9.0,13.0,24.0,2.0,19.0,-5.0,28.0,11.0,12.0,9.0,20.0,31.0,16.0,18.0,34.0,13.0,9.0,22.0,23.0,31.0,26.0,32.0,26.0,23.0,16.0,27.0,24.0,38.0,25.0,15.0,25.0,26.0,40.0,37.0,38.0,17.0,41.0,9.0,20.0,6.0,23.0,9.0,16.0,40.0,30.0,26.0,39.0,45.0,14.0,31.0,31.0,29.0,28.0,26.0,31.0,11.0,13.0,26.0,9.0,13.0,25.0,22.0,21.0,20.0,26.0,18.0,18.0,-4.0,9.0,37.0,,36.0,26.0,8.0,18.0,4.0,13.0,20.0,11.0,-6.0,,31.0,19.0,21.0,31.0,0.0,29.0,35.0,27.0,38.0,26.0,7.0,25.0,15.0,25.0,22.0,12.0,32.0,19.0,32.0,33.0,6.0,26.0,35.0,26.0,27.0,18.0,9.0,12.0,22.0,30.0,22.0,9.0,35.0,8.0,23.0,24.0,18.0,20.0,29.0,20.0,32.0,4.0
